,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
108,Mahebourg,-20.4081,57.7,79.25,73,75,10.36,broken clouds,Shandrani Beachcomber Resort & Spa
115,Souillac,-20.5167,57.5167,79.36,73,75,10.36,broken clouds,Shanti Maurice Resort & Spa
116,Taoudenni,22.6783,-3.9836,87.94,15,0,9.55,clear sky,
119,Majene,-3.5403,118.9707,79.29,82,100,4.45,overcast clouds,Kost Putri RABBANI
122,Thinadhoo,0.5333,72.9333,83.41,70,59,14.74,broken clouds,
124,Gamba,-2.65,10.0,81.75,76,100,8.21,light rain,
125,Jalu,29.0331,21.5482,82.09,25,0,6.55,clear sky,صاحبة الفخامة
127,Saint-Philippe,-21.3585,55.7679,81.95,82,54,10.09,light rain,"Chambres d'hôte ""La Trinité"""
128,Bambous Virieux,-20.3428,57.7575,79.21,73,75,10.36,broken clouds,Casa Tia Villa
130,Kavieng,-2.5744,150.7967,82.54,80,7,14.97,light rain,Nusa Island Retreat
135,Bethanien,-26.502,17.1583,86.54,7,100,21.88,overcast clouds,Bethanie Hotel
136,Katobu,-4.9408,122.5276,77.45,91,35,4.05,scattered clouds,La Ode Husein
141,Muncar,-8.4333,114.3333,80.1,85,96,0.38,overcast clouds,Zaky Homestay
142,Meulaboh,4.1363,96.1285,76.98,92,100,8.03,overcast clouds,Kost Pria
143,Tall Kayf,37.0833,41.0667,77.34,22,2,3.04,clear sky,
146,Arraial Do Cabo,-22.9661,-42.0278,76.96,64,0,8.05,clear sky,Pousada Porto Praia
147,Yanam,16.7333,82.2167,82.8,75,99,6.11,light rain,The Regency Hotel
148,Nouadhibou,20.931,-17.0347,76.98,44,0,16.11,clear sky,El Medina
149,Abonnema,4.7084,6.7931,84.45,70,100,7.61,light rain,Corper's Lodge Obonoma
150,Sumenep,-7.0167,113.8667,84.58,68,88,5.64,overcast clouds,OYO 3271 Homestay Pandian
156,Sabha,27.0377,14.4283,86.07,16,0,8.32,clear sky,Foundation Taaj Asala for Historical Research and Archeology
157,Bandarbeyla,9.4942,50.8122,79.92,63,0,13.4,clear sky,JABIR HOTEL
